y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0,0,0,6,1,0,0,2,0,0,7,1,1,1,4,2,2,0,3,0,0,1,5,0,7,2,1,0,2,0,0,0,0,0,0
0,0,5,2,0,3,6,7,8,0,0,1,2,1,0,0,0,0,3,0,0,0,1,0,0,7,1,0,1,0,3,0,0,0,0
1,12,0,6,1,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,2,3,0,0,8,6,2,0,3,3,0,0,0,0,0,12,0,0,3,1,0,5,1,0,4,0,0,0
1,12,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,6,2,0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0
0,21,0,12,0,4,4,4,24,0,0,1,9,1,0,3,3,0,4,0,0,0,15,0,0,4,1,0,2,3,5,0,0,4,0
0,0,0,2,0,0,0,0,4,0,0,6,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,45,20,10,10,0,0,0,0,0,0,1,0,1,5,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,0,0,4,0,0,0,0,12,0,0,1,5,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
1,14,0,4,2,0,2,0,2,3,0,0,1,0,0,0,0,0,0,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,3,1,0,0,0,0,0,0
0,0,0,4,3,0,0,0,0,0,0,1,4,1,0,2,2,0,1,0,0,1,6,0,0,0,1,0,7,1,0,10,4,0,0
1,14,2,7,5,0,0,0,1,0,0,0,4,0,1,2,2,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,6,1,2,0,2,16,0,0,1,10,1,0,5,5,0,1,0,0,0,6,0,3,2,1,8,7,0,0,0,5,0,0
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0
